constituency,gaeilge,Count Number,Date Of Election,Number Of Candidates,Number of Seats,Quota,Required Save Deposit,Seats Filled,seats,Spoiled,electorate,poll,Valid Poll,Constituency Number,abbr,party,sf,ff,fg,con_abbr,partycol,x,y
Kildare South,Cill Dara Theas,8,08/02/2020,11,3,11816,2955,3,4,440,77719,47700,47260,187,KS,SF,21.49,20.12,17.07,KR,FF,20,330
Dublin Mid West,Baile Atha Cliath Thiar-Mean,9,08/02/2020,12,4,9091,2273,4,4,480,74506,45932,45452,643,DMW,SF,42.82,12.32,17.57,KR,FF,0,350
Roscommon Galway,Ros Comain-Gaillimh,6,08/02/2020,11,3,11404,2852,3,3,330,69598,45942,45612,996,RG,SF,17.55,17.32,11.98,KR,FF,20,350
,,,,,,,,,,,,,,,,,,,,CNW,FF,50,310
,,,,,,,,,,,,,,,,,,,,CNW,FF,50,330
,,,,,,,,,,,,,,,,,,,,CNW,FF,50,350
,,,,,,,,,,,,,,,,,,,,LIC,FF,80,230
,,,,,,,,,,,,,,,,,,,,LIC,FF,100,230
,,,,,,,,,,,,,,,,,,,,LIC,FF,120,230
,,,,,,,,,,,,,,,,,,,,LIC,FF,120,250
,,,,,,,,,,,,,,,,,,,,LCO,FG,70,260
,,,,,,,,,,,,,,,,,,,,LCO,FG,90,260
,,,,,,,,,,,,,,,,,,,,LCO,FG,70,280
,,,,,,,,,,,,,,,,,,,,LO,FF,180,210
,,,,,,,,,,,,,,,,,,,,LO,FF,180,230
,,,,,,,,,,,,,,,,,,,,LO,FF,200,230
,,,,,,,,,,,,,,,,,,,,LO,FF,180,250
,,,,,,,,,,,,,,,,,,,,LO,FF,200,250
,,,,,,,,,,,,,,,,,,,,KS,SF,230,230
,,,,,,,,,,,,,,,,,,,,KS,SF,230,250
,,,,,,,,,,,,,,,,,,,,KS,SF,250,250
,,,,,,,,,,,,,,,,,,,,KS,SF,250,270
,,,,,,,,,,,,,,,,,,,,KN,FF,260,200
,,,,,,,,,,,,,,,,,,,,KN,FF,280,200
,,,,,,,,,,,,,,,,,,,,KN,FF,260,220
,,,,,,,,,,,,,,,,,,,,KN,FF,280,220
,,,,,,,,,,,,,,,,,,,,WW,FG,310,230
,,,,,,,,,,,,,,,,,,,,WW,FG,290,250
,,,,,,,,,,,,,,,,,,,,WW,FG,310,250
,,,,,,,,,,,,,,,,,,,,WW,FG,290,270
,,,,,,,,,,,,,,,,,,,,WW,FG,310,270
,,,,,,,,,,,,,,,,,,,,LW,FF,180,140
,,,,,,,,,,,,,,,,,,,,LW,FF,200,140
,,,,,,,,,,,,,,,,,,,,LW,FF,200,160
,,,,,,,,,,,,,,,,,,,,LW,FF,200,180
,,,,,,,,,,,,,,,,,,,,GE,FG,120,170
,,,,,,,,,,,,,,,,,,,,GE,FG,140,170
,,,,,,,,,,,,,,,,,,,,GE,FG,140,190
,,,,,,,,,,,,,,,,,,,,CL,FF,50,200
,,,,,,,,,,,,,,,,,,,,CL,FF,70,200
,,,,,,,,,,,,,,,,,,,,CL,FF,90,200
,,,,,,,,,,,,,,,,,,,,CL,FF,110,200
,,,,,,,,,,,,,,,,,,,,ME,FG,260,140
,,,,,,,,,,,,,,,,,,,,ME,FG,280,140
,,,,,,,,,,,,,,,,,,,,ME,FG,280,160
,,,,,,,,,,,,,,,,,,,,MW,SF,230,170
,,,,,,,,,,,,,,,,,,,,MW,SF,250,170
,,,,,,,,,,,,,,,,,,,,MW,SF,230,190
,,,,,,,,,,,,,,,,,,,,RG,SF,130,120
,,,,,,,,,,,,,,,,,,,,RG,SF,130,140
,,,,,,,,,,,,,,,,,,,,RG,SF,150,140
,,,,,,,,,,,,,,,,,,,,GW,FF,30,130
,,,,,,,,,,,,,,,,,,,,GW,FF,30,150
,,,,,,,,,,,,,,,,,,,,GW,FF,50,150
,,,,,,,,,,,,,,,,,,,,GW,FF,70,150
,,,,,,,,,,,,,,,,,,,,GW,FF,90,150
,,,,,,,,,,,,,,,,,,,,SL,FF,110,70
,,,,,,,,,,,,,,,,,,,,SL,FF,90,90
,,,,,,,,,,,,,,,,,,,,SL,FF,110,90
,,,,,,,,,,,,,,,,,,,,SL,FF,130,90
,,,,,,,,,,,,,,,,,,,,MA,FG,60,100
,,,,,,,,,,,,,,,,,,,,MA,FG,60,120
,,,,,,,,,,,,,,,,,,,,MA,FG,80,120
,,,,,,,,,,,,,,,,,,,,MA,FG,100,120
,,,,,,,,,,,,,,,,,,,,CM,SF,180,70
,,,,,,,,,,,,,,,,,,,,CM,SF,160,90
,,,,,,,,,,,,,,,,,,,,CM,SF,180,90
,,,,,,,,,,,,,,,,,,,,CM,SF,200,90
,,,,,,,,,,,,,,,,,,,,CM,SF,200,110
,,,,,,,,,,,,,,,,,,,,LU,SF,250,70
,,,,,,,,,,,,,,,,,,,,LU,SF,230,90
,,,,,,,,,,,,,,,,,,,,LU,SF,250,90
,,,,,,,,,,,,,,,,,,,,LU,SF,270,90
,,,,,,,,,,,,,,,,,,,,LU,SF,270,110
,,,,,,,,,,,,,,,,,,,,DG,SF,130,0
,,,,,,,,,,,,,,,,,,,,DG,SF,110,20
,,,,,,,,,,,,,,,,,,,,DG,SF,130,20
,,,,,,,,,,,,,,,,,,,,DG,SF,110,40
,,,,,,,,,,,,,,,,,,,,DG,SF,130,40
,,,,,,,,,,,,,,,,,,,,DF,SF,440,60
,,,,,,,,,,,,,,,,,,,,DF,SF,440,80
,,,,,,,,,,,,,,,,,,,,DF,SF,460,80
,,,,,,,,,,,,,,,,,,,,DF,SF,440,100
,,,,,,,,,,,,,,,,,,,,DF,SF,460,100
,,,,,,,,,,,,,,,,,,,,DW,SF,410,130
,,,,,,,,,,,,,,,,,,,,DW,SF,410,150
,,,,,,,,,,,,,,,,,,,,DW,SF,390,170
,,,,,,,,,,,,,,,,,,,,DW,SF,410,170
,,,,,,,,,,,,,,,,,,,,DNW,SF,440,130
,,,,,,,,,,,,,,,,,,,,DNW,SF,460,130
,,,,,,,,,,,,,,,,,,,,DNW,SF,440,150
,,,,,,,,,,,,,,,,,,,,DBN,SF,490,140
,,,,,,,,,,,,,,,,,,,,DBN,SF,510,140
,,,,,,,,,,,,,,,,,,,,DBN,SF,470,160
,,,,,,,,,,,,,,,,,,,,DBN,SF,490,160
,,,,,,,,,,,,,,,,,,,,DBN,SF,510,160
,,,,,,,,,,,,,,,,,,,,DC,SF,440,190
,,,,,,,,,,,,,,,,,,,,DC,SF,460,190
,,,,,,,,,,,,,,,,,,,,DC,SF,480,190
,,,,,,,,,,,,,,,,,,,,DC,SF,500,190
,,,,,,,,,,,,,,,,,,,,DSC,SF,420,220
,,,,,,,,,,,,,,,,,,,,DSC,SF,440,220
,,,,,,,,,,,,,,,,,,,,DSC,SF,420,240
,,,,,,,,,,,,,,,,,,,,DSC,SF,440,240
,,,,,,,,,,,,,,,,,,,,DBS,FG,470,220
,,,,,,,,,,,,,,,,,,,,DBS,FG,490,220
,,,,,,,,,,,,,,,,,,,,DBS,FG,470,240
,,,,,,,,,,,,,,,,,,,,DBS,FG,490,240
,,,,,,,,,,,,,,,,,,,,DMW,SF,390,200
,,,,,,,,,,,,,,,,,,,,DMW,SF,390,220
,,,,,,,,,,,,,,,,,,,,DMW,SF,390,240
,,,,,,,,,,,,,,,,,,,,DMW,SF,390,260
,,,,,,,,,,,,,,,,,,,,DSW,SF,420,270
,,,,,,,,,,,,,,,,,,,,DSW,SF,440,270
,,,,,,,,,,,,,,,,,,,,DSW,SF,420,290
,,,,,,,,,,,,,,,,,,,,DSW,SF,440,290
,,,,,,,,,,,,,,,,,,,,DSW,SF,440,310
,,,,,,,,,,,,,,,,,,,,DR,FG,470,270
,,,,,,,,,,,,,,,,,,,,DR,FG,470,290
,,,,,,,,,,,,,,,,,,,,DR,FG,470,310
,,,,,,,,,,,,,,,,,,,,DL,FG,500,270
,,,,,,,,,,,,,,,,,,,,DL,FG,520,270
,,,,,,,,,,,,,,,,,,,,DL,FG,500,290
,,,,,,,,,,,,,,,,,,,,DL,FG,520,290
